image,ground_truth,prediction,cer,wer,exact_match
images/v2_058752.jpg,"FA = V.d = 0,0005.10000","FA= V.d=0,0005.10000",0.1304,1.0,0
images/v2_008777.jpg,"trường thọ; chúc toàn thể gia đình an khang, mọi","trường thọ; chúc toàn thể gia đình x an khang, mọi",0.0417,0.1,0
images/v2_028241.jpg,3 a) Quang Trung đại phá quân Thanh vào năm 1789.,3 a) Quang Trung đại phá quân Thanh vào năm 1789.,0.0,0.0,1
images/v2_007044.jpg,Cam kết: Em và gia đình sẽ ko nạp.,Cam kết: Em và gia đình sẽ ko nạp.,0.0,0.0,1
images/v2_055520.jpg,"lượt là x,y,z","luộc là x,y,?",0.3077,0.6667,0
images/v2_000535.jpg,vừa rồi em thi đều đạt kết quả tốt. anh mừng cho,Vừn mỗi em khi đến đạt biến quả tất anguyên cho,0.3542,0.6667,0
images/v2_035172.jpg,Mà cao nghe nhói ở trong tim.,Mà sao nghe nhóc ở trong tin.,0.1034,0.4286,0
images/v2_018726.jpg,1. Ngày xưa có một cậu bé làm gì cũng mau chán,1 Ngày xưa có một cậu bé làm gì cũng mau chán,0.0217,0.0833,0
images/v2_030840.jpg,"""Cùng Kun làm việc tốt mỗi ngày"".","""Cùng Kun làm việc tốt mỗi ngày""",0.0303,0.1429,0
images/v2_044074.jpg,nhân dân ta có đủ bản lĩnh để vượt qua nh khó khăn,nhân dân ta có đủ bán lĩnh để + vượt qua phỉ khó khăn,0.1,0.2308,0
images/v2_042877.jpg,TỚI DỰ LỄ THÀNH HÔN CỦA HAI CON CHÚNG TÔI,TỐI DỰ LỂ THÀNH HÔN CỦA HAI CON CHÚNG TÔI,0.0488,0.2,0
images/v2_055236.jpg,o biết nghĩ thì sớm muộn rồi cũng mang hoạ vào thân,e biết nghĩ thì sớm muộn rồi cũng mang hoa vào thêm,0.0784,0.25,0
images/v2_039158.jpg,xúc động vô cùng. Tất cả phải sống,xúc động vô cùng. Tất cả phải sống,0.0,0.0,1
images/v2_032433.jpg,"cả , Lượm đã không ngại, sợ hãi, mà vẫn quyết","cả, Lượn đã không ngại, sợ hãi, mà vẫn quyết",0.0444,0.2727,0
images/v2_018438.jpg,b) K là trung điểm đây EF của đường trong (O),b) K là trung điểm đây EF của đường tròn (O),0.0444,0.0909,0
images/v2_003312.jpg,"Khi đến mang theo Giấy triệu tập này, CMND/Thẻ CCCD/Hộ chiếu hoặc","Khi đến mang theo Giấy triệu tập này, CMND/Thẻ CCCD/Hộ chiếu hoặc",0.0,0.0,1
images/v2_003188.jpg,ơn thì người đó sẽ được bạn tặng thêm,ơn thì người đó sẽ được bạn tặng thêm,0.0,0.0,1
images/v2_023127.jpg,học không nhàm chán. Thật tuyệt vời khi được học khóa học này.,học không nhàm chán. Thật tuyệt vời khi được học khía học này,0.0323,0.1538,0
images/v2_038230.jpg,thứ nhất cửa hàng bán 1/3 can. Lần thứ hai cửa hàng,thứ nghất cứu hàng bản 3 can. Lên thứ hai của hàng,0.1569,0.5,0
images/v2_014099.jpg,lại lâu hơn một chút - con đã sắp hết cấp BA,lại lâu hơn một chút - con đã sắp hết cáp Ba,0.0455,0.1667,0
images/v2_015776.jpg,a) Buổi chiều cửa hàng bán được bao nhiêu Kg thóc?,a) Buổi chiều cửa hàng bán được bao nhiêu kg thóc,0.04,0.1818,0
images/v2_029965.jpg,I) Tình hình thế giới:A)Đế quốc chiến tranh lần thứ hai: Phát súng đầu tiên của,I) Tình hình thế giới A/ Đế quốc chiến tranh lần thứ hai: Phát súng đầu trên của,0.0506,0.25,0
images/v2_033124.jpg,Sau khi sảy ra sự việc trên tôi được biết cơ quan công an đã,Sau khi sảy ra sự việc trên tôi được biết cả quan công an đã,0.0167,0.0667,0
images/v2_025771.jpg,"* Lựa chọn loại đòn cẩu dựa vào kthê, (.) lg ck","""Lựa chọn loại đòn cảu dựa và kthc, (> lg ck",0.1489,0.5,0
images/v2_005901.jpg,Chi Đội 9A Chào Mừng Ngày Nhà Giáo Việt Nam 20-11,Chi Đội 9A Chào Hàng Những Nhà Giáo Việt Nam 2011,0.1429,0.2727,0
images/v2_001518.jpg,Đại học Y khoa Hà Nội,Dại học Y khoa Hà Nội,0.0476,0.1667,0
images/v2_032595.jpg,"tức lên án và bài trừ. Hiểu được điều đó, chúng ta","tức lên án và bài trữ. Hiếu được điều đó, chúng ta",0.04,0.1667,0
images/v2_020220.jpg,"ngon. Lúc đi học về, con còn thấy mặt mẹ rất","ngon. Lúc đi học về, con còn thấy mặt mẹ rất",0.0,0.0,1
images/v2_032686.jpg,"Theo em, chú mèo trong bài thơ này có thích đi học không","Theo em, chú mèo trong bài thơ này có thích đi học không",0.0,0.0,1
images/v2_030593.jpg,* Sao mày không chơi với đứa khác đi? Quan,+ Sao mảy không chơi với đứa kháo đi ? Quan,0.0952,0.5,0
images/v2_033733.jpg,chơi. Anh cho em đi lên công ty mẹ. A,chơi. Anh cho em đi lên công ty mẹ. A,0.0,0.0,1
images/v2_032654.jpg,và do lầm lỡ mà không có điều kiện nuôi,và do lầm lở mà không có điều kiện nuôi,0.0256,0.1,0
images/v2_010442.jpg,bạ cấp 1 bố sẽ lưu giữ ở trong két,bạ cấp 1 bố sẽ lưu giữ ở trong két,0.0,0.0,1
images/v2_056815.jpg,Học là cả 1 quá trình chúng ta nổ lực và cố gắng suốt 12,Học là cả 1 qua trịnh chúng tà nỡ lực và cô quốc suốt 12,0.1607,0.4,0
images/v2_012440.jpg,mưa nhiều nên các chú nhớ giữ ấm cơ thể để đảm,mưa nhiều nên các chủ nhớ giữ ấm cơ thể để đảm,0.0217,0.0833,0
images/v2_020494.jpg,"cảm động vì thấy các bác sỹ y tá, kỹ thuật viên,","cảm động vì thấy các bác sỹ, y tá, kỳ thuật viên",0.0625,0.25,0
images/v2_047259.jpg,Hôm nay đầy tự hào đi lên lòng dạt dào dựng xây cuộc,Hôm nay đầy tự hào đi lên lòng dạt dào dựng xây cuộc,0.0,0.0,1
images/v2_037859.jpg,"em mang theo áo mưa vì dự báo thời tiết, trời có thể mưa","em mang theo áo mưa vì dự báo thời tiết, trời có thể mưa",0.0,0.0,1
images/v2_021458.jpg,Hàng đóng chuyển,Hàng đóng chuyển,0.0,0.0,1
images/v2_053312.jpg,"cao đẹp. Họ ko vì hoàn cảnh mà đánh mất mình, họ chẳng","cao đẹp. ""Họ ko vì hoàn cảnh mà đánh mất mình, họ chẳng",0.0185,0.0769,0
images/v2_010466.jpg,Lúc đầu Tuấn có :... quả bóng ?,Lúc đầu Tuấn có:..... quả bóng ?,0.0968,0.25,0
images/v2_016270.jpg,"dài, thở hồng hộc, mệt nhọc. Trong nhà, quạt","đài, thở hồng hộc, mệt nhọc Trong nhà, quạt",0.0455,0.2222,0
images/v2_027402.jpg,ỦY BAN NHÂN DÂN,ỦY BAN NHÂN DÂN,0.0,0.0,1
images/v2_040329.jpg,"Nụ cười héo quá, khác mười năm qua","Nú cười héo quá, khác mười năm qua.",0.0588,0.25,0
images/v2_025175.jpg,Quả dừa đàn lợn con nằm trên cao.,Quả dừa đàn lợn con nằm trên cao.,0.0,0.0,1
images/v2_019019.jpg,khát khao đã làm dịu mát tâm hồn,khái khao đã làm địa một tân hôn,0.1875,0.625,0
images/v2_003316.jpg,Điểm thi THPT Nguyễn Hiền,Đìm thi THPT Nguyễn Hiên,0.12,0.4,0
images/v2_006344.jpg,a) xác định kiểu gen,a) Xác định kiều gen,0.1,0.4,0
images/v2_009232.jpg,=> KHNQ là tứ giác nội tiếp,=> KHNQ là tứ giác niới tiếp,0.0741,0.1429,0
images/v2_016247.jpg,"hoa mai xinh đẹp, mang màn của nắng chỉ có ở đất nước mình","hoa mai xinh đẹp, mang màu của nắng chư có ở đất nước mình",0.0345,0.1429,0
images/v2_029464.jpg,A. held B. hold C. to held D. holding,a A held B. hold C. toheld D. holding,0.1081,0.4444,0
images/v2_017529.jpg,-Hôm nay tôi xin được gửi lời cảm ơn chân thành đến,- Hôm nay ăn an đứa gói lời cảm ơn chân thành đến.,0.2157,0.5833,0
images/v2_008029.jpg,có lỗi :( Năm nay con lại đổ vào,có lỗi: (Nam nay con lại đổ vào,0.125,0.3333,0
images/v2_030570.jpg,bạn hỏi có có tát nữa không cô nói tát tiếp,ban hỏi có có tát nữa không cô nói tát tiếp,0.0233,0.0909,0
images/v2_015842.jpg,không biết san sẻ cùng ai lê bước dài hơn,không hết san sẻ cùng ai lẽ trước dài hơn,0.122,0.3,0
images/v2_020913.jpg,Hôn lễ được cử hành tại : Tư Gia,Hôn lễ được cứ hành tại: Tư Gia,0.0625,0.3333,0
images/v2_006958.jpg,"4 Đúng ghi Đ,","4 Đúng ghi Đ,",0.0,0.0,1
images/v2_036808.jpg,thì đã đỡ nhiều giải quyết được các,Thì đã đỡ nhiều giải puyết được các,0.0571,0.25,0
images/v2_033749.jpg,việc giao nhận tiền chuyển nhượng giữa một bên là:,một quao sâu tiền chuyển đượng quả một bên lã,0.36,0.6,0
images/v2_057473.jpg,Hỏi diện tích đất trồng hoa bằng bn,Hỏi diện tích đất tròng hoa bằng ba,0.0571,0.25,0
images/v2_049850.jpg,"hát hay và rất men lỳ, cực ngầu. Mới gần đây","hát hay và rất men lỳ, cực ngầu. Mỗi gần đây",0.0227,0.0909,0
images/v2_008569.jpg,2) S. xếp thành từng nhóm các đơn thức đồng dạng.,2) S. xếp thành từng nhóm các đơn thức đồng dạng.,0.0,0.0,1
images/v2_026130.jpg,có mặt theo đúng thời gian và địa điểm nêu trên.,có mặt theo đúng thời gian và địa điểm nêu trên.,0.0,0.0,1
images/v2_022634.jpg,không đơn giản chỉ là đồ dùng quen ∈ của quê nhà mà nó trở,không đơn giản chỉ là đồ dùng quen E. của quê nhà mà nó trở,0.0345,0.0667,0
images/v2_048116.jpg,xã Đã Trao trả đầy đủ lại số giấy tờ và tài,Xã Đã Trao trả đầy dự lại số giấy tờ và tài,0.0698,0.1667,0
images/v2_020926.jpg,Biên bản buổi làm việc kết thúc lúc 10 giờ 10 cùng ngày đã đọc lại cho mọi,Biên bản buổi làm việc kết thúc lúc 10 giờ 10 cùng ngày đã đọc lại cho mọi,0.0,0.0,1
images/v2_058284.jpg,Lập dàn ý hai khổ cuối,Láp dân ý hai khổ cuối,0.0909,0.3333,0
images/v2_020485.jpg,Tùng. Hằng ngày bố chỉ đi kiếm tiền rồi về nhà,Tùng. Hằng ngày bố chỉ đi kiếm tiền rồi về nhà,0.0,0.0,1
images/v2_009415.jpg,"vẫn đeo bám họ. Một hôm, lúc ra đồng, người vợ bỗng thấy","vẫn đao, bám họ. Một hôm, lúc ra đồng, người vơ hỗng thấy",0.0714,0.2308,0
images/v2_058537.jpg,"(trực tiếp, xâu xa)? Ý nghĩa trận cầu giấy.","(trực tiếp, rầu xa)? Ý nghĩa trận cầu giấy",0.0698,0.2222,0
images/v2_022294.jpg,CỘNG HOÀ XÃ HỘI CHỦ  NGHĨA VIỆT NAM,CỘNG HÒA XÃ HỘI CHỦ NGHIA VIỆT NAM,0.1143,0.25,0
images/v2_013370.jpg,điều đó rất quan trọng. Vậy lan tỏa yêu thương sẽ có được,điều đó rất quan trọng. Vậy lan tỏa yêu thương sẽ có được,0.0,0.0,1
images/v2_030437.jpg,Câu nêu đặc điểm cảu các loài,Câu nêu đặc điểm cảu các loài,0.0,0.0,1
images/v2_031735.jpg,"và các cơ quan, Báo chí, Luật sư, Truyền hình Việt NAM","và các cơ quan, Báo chỉ, Luật sư, TRuyền hình Việt NAM",0.037,0.1667,0
images/v2_027238.jpg,mọc nhiều nên trên đầu nó chỉ có 10-15 cái,mọc nhiều nên trên đầu nó chủ có 10-15 cái,0.0238,0.1,0
images/v2_028809.jpg,Ngay Sau đó Tôi được Tiến Sỹ Ngô Thanh Hồi,Ngay Sau đó Tội được Tiếu Sỹ Ngô Thanh Hồi,0.0476,0.2,0
images/v2_010359.jpg,Sẽ trả lại tấm thân cho cát bụi,Sẻ trả lại tiềm thân cho cát bụi,0.0968,0.25,0
images/v2_003926.jpg,Ôn tập các số đến 100 (tiếp theo),Ơn tập các số đến 100 (tiếp theo),0.0303,0.125,0
images/v2_045128.jpg,"chỉ chiếc bóng trên tường bảo cha nó, TS hiểu ra","chỉ chiếc bóng trên tượng bảo cha nó, TS hiểu ra",0.0208,0.0909,0
images/v2_004782.jpg,"quá ít để mẹ sống lâu dài. Nhớ lời bà lão, tôi nảy ra","quá ít để mẹ sống lâu dài. Nhớ lời bà lão, tôi nảy ra",0.0,0.0,1
images/v2_029723.jpg,"Tóm tắt quá trình diễn biến bệnh, quá trình điều trị và chăm sóc người bệnh:","Tóm tắt quá trình diễn biến bệnh, quá trình điều trị và chăm sóc người bệnh:",0.0,0.0,1
images/v2_019492.jpg,bạn khác. Tủ đồ quần áo của mẹ không có 1 cái váy,bạn khác. Tủ đồ quần áo của mẹ không có 1 cái váy,0.0,0.0,1
images/v2_026613.jpg,ĐỀ: Nếu em là người dân làng Vũ Đại...,Đề: Nếu em là người dân làng Vũ Đại...,0.0263,0.1111,0
images/v2_044891.jpg,bằng Trái tim em đỏ nhiệt tình như,bàng Trái tìm em đó nhiết tình như,0.1176,0.5,0
images/v2_052910.jpg,"3. khi (0) thay đổi nhưng luôn đi qua B, C thì","6. Khi (O) thay đổi nhưng luôn đi qua B, (thi",0.1304,0.4167,0
images/v2_052736.jpg,2. Bốn câu thơ tiếp gợi tả vẻ đẹp của Thúy,2. Bốn câu thơ tiếp gội tả vẻ đẹp của Thuỷ,0.0714,0.1818,0
images/v2_016048.jpg,nhiệt độ tính được do toả ra môi,nhiệt độ tính được do toả ra môi,0.0,0.0,1
images/v2_031650.jpg,sẽ có hồi kết. Người ta biết ai rồi cũng,sẽ có hồi kết. Người ta biết ai sồi ăng,0.075,0.2,0
images/v2_019798.jpg,Vì lý do: Đồng tiền trách nhiệm để chị hiền vào làm,Với lý do: Đống tiền trách phiệm để chị hiện vào làm,0.098,0.3333,0
